Variable,Tipo,Longitud,Decimales,Descripción,Valores,Etiquetas
,,,,"7         Domingo 23 de junio, turno matutino",,
,,,,"8         Domingo 23 de junio, turno vespertino",,
PRE_EXA,Carácter,1,,Presentó examen,N,No
,,,,,S,Sí
EXAMEN,Carácter,2,,¿Presentó examen? por institución,CS,CENEVAL SI PRESENTADO
,,,,,CN,CENEVAL NO PRESENTADO
,,,,,US,UNAM SI PRESENTADO
,,,,,UN,UNAM NO PRESENTADO
NGLOBAL,Numérico,3,,Número de aciertos global,(0-128),
NHV,Numérico,3,,Habilidad verbal en número de aciertos,(0-16),
NESP,Numérico,3,,Español en número de aciertos,(0-12),
NHIS,Numérico,3,,Historia en número de aciertos,(0-12),
NGEO,Numérico,3,,Geografía en número de aciertos,(0-12),
NFCE,Numérico,3,,Formación cívica y ética en número de aciertos,(0-12),
NHM,Numérico,3,,Habilidad matemática en número de aciertos,(0-16),
NMAT,Numérico,3,,Matemáticas en número de aciertos,(0-12),
NFIS,Numérico,3,,Física en número de aciertos,(0-12),
NQUI,Numérico,3,,Química en número de aciertos,(0-12),
NBIO,Numérico,3,,Biología en número de aciertos,(0-12),
PNGLOBAL,Numérico,6,2,Porcentaje de aciertos global,(0.00-100.00),
PNHV,Numérico,6,2,Habilidad verbal en porcentaje de aciertos,(0.00-100.00),
PNESP,Numérico,6,2,Español en porcentaje de aciertos,(0.00-100.00),
PNHIS,Numérico,6,2,Historia en porcentaje de aciertos,(0.00-100.00),
PNGEO,Numérico,6,2,Geografía en porcentaje de aciertos,(0.00-100.00),
PNFCE,Numérico,6,2,Formación cívica y ética en porcentaje de aciertos,(0.00-100.00),
PNHM,Numérico,6,2,Habilidad matemática en porcentaje de aciertos,(0.00-100.00),
PNMAT,Numérico,6,2,Matemáticas en porcentaje de aciertos,(0.00-100.00),
PNFIS,Numérico,6,2,Física en porcentaje de aciertos,(0.00-100.00),
PNQUI,Numérico,6,2,Química en porcentaje de aciertos,(0.00-100.00),
PNBIO,Numérico,6,2,Biología en porcentaje de aciertos,(0.00-100.00),
EXPL_ASI,Carácter,5,,Explicación después de haber corrido el proceso de asignación en el Ceneval,ASI,ASIGNADO
,,,,,CDO,CON DERECHO A OTRA OPCIÓN
,,,,,NP,NO PRESENTÓ
,,,,,SC,SIN CERTIFICADO
,,,,,BI,Baja por irregularidad
NOPC_ASI,Numérico,2,,Número de opción asignada,,
COPC_ASI,Carácter,7,,Clave de la opción educativa asignada en el proceso de asignación en el Ceneval,,
CVEINS_ASI,Carácter,2,,Clave de la institución asignada,B0,COLBACH
,,,,,C1,CONALEP
,,,,,G2,DGB
,,,,,A3,DGETAyCM
,,,,,D4,DGETI
,,,,,I5,IPN
,,,,,U6,UNAM
,,,,,S0,SECTI COBAEM
,,,,,S1,SECTI CONALEP
,,,,,S2,SECTI TELEBACHILLERATO
,,,,,S4,SECTI CBT
,,,,,S5,SECTI CECYTEM
,,,,,S7,SECTI P.O.
,,,,,S8,SECTI P.O.
,,,,,M9,UAEM
CVESUB_ASI,Carácter,2,,Clave del subsistema asignado,01,COLBACH
,,,,,02,CONALEP
,,,,,03,DGB
,,,,,04,DGETAyCM
,,,,,05,DGETI
,,,,,06,IPN
,,,,,07,UNAM
,,,,,08,SECTI TELEBACHILLERATO
,,,,,09,SECTI P.O.
,,,,,10,SECTI CONALEP
,,,,,11,SECTI COBAEM
,,,,,12,SECTI CECYTEM
,,,,,13,SECTI CBT
,,,,,14,UAEM
ASIG_FIN,Carácter,7,,Clave de la opción educativa después del periodo de atención CDO y SC,,
EXPL_FIN,Carácter,10,,Explicación después del periodo de atención CDO y SC,ASI,ASIGNADO
,,,,,PREINS,PREINSCRITO
,,,,,REASIG,REASIGNADO
,,,,,BI,BAJA POR IRREGULARIDAD
,,,,,CDO,CON DERECHO A OTRA OPCIÓN
,,,,,NP,NO PRESENTÓ
,,,,,SC,SIN CERTIFICADO
NOPC_FIN,Numérico,2,,Número de opción asignada después del periodo de atención CDO y SC,,
INST_FIN,Carácter,2,,Clave de la institución asignada después del periodo de atención CDO y SC,,
IV. CUESTIONARIO DE CONTEXTO,,,,,,
¿Enfrentas algunas de las siguientes condiciones? ,,,,,,
IMP_CAM,CARÁCTER,1,,Dificultad para caminar,1,Sí
,,,,,2,No
IMP_ECU,CARÁCTER,1,,"Dificultad para escuchar, aun a corta distancia",1,Sí
,,,,,2,No
IMP_VER,CARÁCTER,1,,"Problemas graves para ver, aun con lentes",1,Sí
,,,,,2,No
IMP_CON,CARÁCTER,1,,Problemas de conducta,1,Sí
,,,,,2,No
IMP_PAN,CARÁCTER,1,,Problemas de ansiedad/estrés,1,Sí
,,,,,2,No
IMP_PCA,CARÁCTER,1,,Problemas de agresividad,1,Sí
,,,,,2,No
IMP_PDP,CARÁCTER,1,,Problemas de depresión,1,Sí
,,,,,2,No
IMP_PAT,CARÁCTER,1,,Problemas de atención,1,Sí
,,,,,2,No
IMP_POB,CARÁCTER,1,,Obesidad,1,Sí
,,,,,2,No
IMP_PAB,CARÁCTER,1,,Anorexia o bulimia,1,Sí
,,,,,2,No
¿Alguno de tus padres habla una lengua indígena o un dialecto?,,,,,,
LENG_MA,CARÁCTER,1,,Madre,1,Sí
,,,,,2,No
,,,,,3,No sé
LENG_PA,CARÁCTER,1,,Padre,1,Sí
,,,,,2,No
,,,,,3,No sé
REG_PROC,CARÁCTER,1,,¿Cuál es el régimen de sostenimiento de la escuela en la que estudiaste el último año de secundaria?,1,Público
,,,,,2,Privado
MOD_SEC,CARÁCTER,1,,¿En qué tipo de escuela estudiaste el último año de secundaria?,1,Secundaria general
,,,,,2,Secundaria técnica
,,,,,3,Secundaria comunitaria
,,,,,4,Telesecundaria
,,,,,5,Secundaria abierta
,,,,,6,Otro
TURNO,CARÁCTER,1,,¿En qué turno estudiaste el último año de secundaria?,1,Matutino
,,,,,2,Vespertino
,,,,,3,Nocturno
,,,,,4,No aplica
,,,,,5,Otro
PROM_MAT,NUMÉRICO,4,1,¿Cuál fue tu promedio final de matemáticas en segundo año de la secundaria?,(6.0 - 10.0),
PROM_ESP,NUMÉRICO,4,1,¿Cuál fue tu promedio final de español en segundo año de la secundaria?,(6.0 - 10.0),
BEC_NEC,CARÁCTER,1,,¿Recibiste beca por necesidad económica en la secundaria?,1,Sí
,,,,,2,No
EXA_EXT,CARÁCTER,1,,¿Cuántos exámenes extraordinarios presentaste en la secundaria?,1,Ninguno
,,,,,2,1
,,,,,3,2
,,,,,4,3
,,,,,5,4 o más
MAT_REP,CARÁCTER,1,,¿Cuántas materias reprobaste en la secundaria?,1,Ninguna
,,,,,2,1
,,,,,3,2
,,,,,4,3
,,,,,5,4 o más
Califica tu nivel de habilidad para realizar las siguientes tareas.,,,,,,
HBS_MEMC,CARÁCTER,1,,Memorizar conceptos,1,Nada hábil
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HBS_STI,CARÁCTER,1,,Sintetizar información,1,Nada hábil
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HBS_IRP,CARÁCTER,1,,Interpretar los resultados de un problema,1,Nada hábil
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HBS_ACRP,CARÁCTER,1,,Aplicar los conocimientos adquiridos en clase para resolver problemas,1,Nada hábil
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
¿Con qué frecuencia realizas lo siguiente cuando trabajas en equipo? ,,,,,,
FRE_PPA,CARÁCTER,1,,Participo en la planeación de actividades,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_CDE,CARÁCTER,1,,Colaboro en el desarrollo de estrategias para cumplir con las metas del trabajo,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_TSC,CARÁCTER,1,,Intervengo para tratar de solucionar conflictos entre los miembros del equipo,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_SME,CARÁCTER,1,,Realizo sugerencias para mejorar el desempeño del equipo,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_CTR,CARÁCTER,1,,Cumplo con las tareas que me toca realizar,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
Califica tu nivel de habilidad social para realizar las siguientes actividades: ,,,,,,
SOC_PTFG,CARÁCTER,1,,Presentar un trabajo frente a un grupo,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
SOC_IMC,CARÁCTER,1,,Iniciar y mantener una conversación con compañeros que no conoces,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
SOC_PDC,CARÁCTER,1,,Participar durante las clases,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
SOC_PDM,CARÁCTER,1,,Plantear dudas a los maestros,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
¿Con qué frecuencia realizas lo siguiente? ,,,,,,
FRE_FCL,CARÁCTER,1,,Falto a clases,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_LTC,CARÁCTER,1,,Llego a tiempo a clases,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_LLTM,CARÁCTER,1,,"Llevo todos los materiales que utilizo en las clases (libros, cuadernos, lápices, etc.)",1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_PDC,CARÁCTER,1,,Participo durante la clase,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_DTE,CARÁCTER,1,,Dedico tiempo a estudiar fuera de la escuela,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_ETTE,CARÁCTER,1,,Entrego a tiempo las tareas que me dejan en la escuela,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_HESC,CARÁCTER,1,,Hago los ejercicios que me solicitan en las clases,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_ACL,CARÁCTER,1,,Asisto a clases,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_PADC,CARÁCTER,1,,Pongo atención durante las clases,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_PAEC,CARÁCTER,1,,"Participo en actividades extracurriculares que se realizan en la escuela (actividades deportivas, artísticas, etc.)",1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
Indica qué tanto te identificas con las siguientes afirmaciones:   ,,,,,,
IDE_ESE,CARÁCTER,1,,"Si me esfuerzo lo suficiente, tendré éxito en la escuela ",1,No me identifico
,,,,,2,Me identifico poco
,,,,,3,Me identifico
,,,,,4,Me identifico totalmente
IDE_VBM,CARÁCTER,1,,El que me vaya bien o mal en la escuela depende totalmente de mí,1,No me identifico
,,,,,2,Me identifico poco
,,,,,3,Me identifico
,,,,,4,Me identifico totalmente
IDE_OME,CARÁCTER,1,,Si hubiera tenido otros maestros me iría mejor en la escuela  ,1,No me identifico
,,,,,2,Me identifico poco
,,,,,3,Me identifico
,,,,,4,Me identifico totalmente
IDE_PPM,CARÁCTER,1,,"Si me lo propongo, me va mejor en la escuela",1,No me identifico
,,,,,2,Me identifico poco
,,,,,3,Me identifico
,,,,,4,Me identifico totalmente
IDE_FAM,CARÁCTER,1,,"Si mi familia me apoyara más, me iría mejor en la escuela",1,No me identifico
,,,,,2,Me identifico poco
,,,,,3,Me identifico
,,,,,4,Me identifico totalmente
IDE_CES,CARÁCTER,1,,Mis calificaciones en la escuela se deben a la suerte que tengo,1,No me identifico
,,,,,2,Me identifico poco
,,,,,3,Me identifico
,,,,,4,Me identifico totalmente
IDE_CEC,CARÁCTER,1,,Mis calificaciones en la escuela se deben a cosas que no puedo cambiar,1,No me identifico
,,,,,2,Me identifico poco
,,,,,3,Me identifico
,,,,,4,Me identifico totalmente
Indica qué tanto te describen las siguientes afirmaciones:  ,,,,,,
DES_DESA,CARÁCTER,1,,Los problemas inesperados me desaniman,1,No me describe
,,,,,2,Me describe poco
,,,,,3,Me describe
,,,,,4,Me describe mucho
DES_ESME,CARÁCTER,1,,Soy una persona que se esmera,1,No me describe
,,,,,2,Me describe poco
,,,,,3,Me describe
,,,,,4,Me describe mucho
DES_TERM,CARÁCTER,1,,Termino todo lo que empiezo,1,No me describe
,,,,,2,Me describe poco
,,,,,3,Me describe
,,,,,4,Me describe mucho
DES_DURO,CARÁCTER,1,,Soy una persona que trabaja duro,1,No me describe
,,,,,2,Me describe poco
,,,,,3,Me describe
,,,,,4,Me describe mucho
DES_ESFU,CARÁCTER,1,,Soy una persona que se esfuerza,1,No me describe
,,,,,2,Me describe poco
,,,,,3,Me describe
,,,,,4,Me describe mucho
DES_SOIO,CARÁCTER,1,,Puedo superar los obstáculos que se interponen para alcanzar mis objetivos,1,No me describe
,,,,,2,Me describe poco
,,,,,3,Me describe
,,,,,4,Me describe mucho
DES_META,CARÁCTER,1,,He alcanzado metas que requirieron años de esfuerzo,1,No me describe
,,,,,2,Me describe poco
,,,,,3,Me describe
,,,,,4,Me describe mucho
"Cuando tienes que tomar una decisión, ¿con qué frecuencia realizas lo siguiente?",,,,,,
FRE_CTOD,CARÁCTER,1,,Considero todas las opciones cuando tomo decisiones,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_DESO,CARÁCTER,1,,En una decisión trato de encontrar cuáles son las desventajas de cada opción,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_REIN,CARÁCTER,1,,Antes de tomar la decisión trato de recolectar mucha información,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_CLOB,CARÁCTER,1,,Procuro tener claros mis objetivos antes de decidir,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_TRIV,CARÁCTER,1,,Pierdo mucho el tiempo en asuntos triviales antes de tomar una decisión,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
FRE_CUID,CARÁCTER,1,,Soy muy cuidadoso(a) antes de elegir,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
Indica tu grado de acuerdo con los siguientes enunciados:,,,,,,
GRA_PART,CARÁCTER,1,,Puedo captar con facilidad si otra persona quiere participar en una conversación,1,Totalmente en desacuerdo
,,,,,2,En desacuerdo
,,,,,3,De acuerdo
,,,,,4,Totalmente de acuerdo
GRA_COSA,CARÁCTER,1,,"Puedo identificar fácilmente si una persona dice una cosa, cuando en realidad quiere decir otra",1,Totalmente en desacuerdo
,,,,,2,En desacuerdo
,,,,,3,De acuerdo
,,,,,4,Totalmente de acuerdo
GRA_PRSE,CARÁCTER,1,,Tengo facilidad para predecir cómo se sentirá otra persona,1,Totalmente en desacuerdo
,,,,,2,En desacuerdo
,,,,,3,De acuerdo
,,,,,4,Totalmente de acuerdo
GRA_ENTR,CARÁCTER,1,,"Me doy cuenta cuando estoy siendo entrometido, incluso si la otra persona no me lo dice",1,Totalmente en desacuerdo
,,,,,2,En desacuerdo
,,,,,3,De acuerdo
,,,,,4,Totalmente de acuerdo
GRA_OCUL,CARÁCTER,1,,Puedo darme cuenta si otra persona está ocultando sus emociones,1,Totalmente en desacuerdo
,,,,,2,En desacuerdo
,,,,,3,De acuerdo
,,,,,4,Totalmente de acuerdo
GRA_ESFU,CARÁCTER,1,,Me esfuerzo para que los demás me entiendan,1,Totalmente en desacuerdo
,,,,,2,En desacuerdo
,,,,,3,De acuerdo
,,,,,4,Totalmente de acuerdo
GRA_LUGA,CARÁCTER,1,,Me resulta fácil ponerme en el lugar de otra persona,1,Totalmente en desacuerdo
,,,,,2,En desacuerdo
,,,,,3,De acuerdo
,,,,,4,Totalmente de acuerdo
¿Con qué frecuencia te sucedió lo siguiente?,,,,,,
SUC_AFEC,CARÁCTER,1,,Me afectó algo que me ocurrió inesperadamente,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
SUC_CIMP,CARÁCTER,1,,Me sentí incapaz de controlar cosas importantes en mi vida,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
SUC_ACOS,CARÁCTER,1,,Pensé que no podía afrontar todas las cosas que tenía que hacer,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
SUC_FRCO,CARÁCTER,1,,Me enojé porque las cosas que me ocurrieron estaban fuera de mi control,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
SUC_DISU,CARÁCTER,1,,"Sentí que las dificultades se acumulaban tanto, que no pude superarlas",1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
SUC_ENES,CARÁCTER,1,,Me enfermé por estrés,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
SUC_INFL,CARÁCTER,1,,Las personas a mi alrededor tuvieron una gran influencia sobre mi estado de humor,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
Califica tu nivel de habilidad para realizar las siguientes actividades: ,,,,,,
HAB_PTAE,CARÁCTER,1,,Planear tus actividades escolares,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_DAM,CARÁCTER,1,,Identificar las dificultades para alcanzar tus metas,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_AEA,CARÁCTER,1,,"Apreciar el arte (como la música, la danza y la pintura)",1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_TEVS,CARÁCTER,1,,"Tener un estilo de vida saludable (hacer ejercicio, comer sanamente)",1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_LTI,CARÁCTER,1,,Leer textos en inglés,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_ETI,CARÁCTER,1,,Expresar tus ideas en un escrito,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_ETIV,CARÁCTER,1,,Expresar tus ideas verbalmente (de manera oral),1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_MHC,CARÁCTER,1,,Manejar hojas de cálculo (como Excel),1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_OIF,CARÁCTER,1,,Ordenar información,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_IOA,CARÁCTER,1,,Identificar el objetivo de las actividades que te dejan en la escuela,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_ETO,CARÁCTER,1,,Evaluar tus opiniones y las de otras personas,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_APM,CARÁCTER,1,,Aprender por ti mismo(a),1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_REL,CARÁCTER,1,,Realizar experimentos en laboratorios o en ambientes naturales,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_SAL,CARÁCTER,1,,Identificar y solicitar la aplicación de las leyes que te protegen como ciudadano(a),1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_DAP,CARÁCTER,1,,Dialogar y aprender de otras personas distintos puntos de vista y tradiciones culturales,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
HAB_CMA,CARÁCTER,1,,Cuidar el medio ambiente,1,No lo sé hacer
,,,,,2,Poco hábil
,,,,,3,Hábil
,,,,,4,Muy hábil
EST_ALCA,CARÁCTER,1,,¿Cuál es el nivel máximo de estudios que te gustaría alcanzar?,1,Bachillerato
,,,,,2,Técnico Superior Universitario
,,,,,3,Licenciatura
,,,,,4,"Posgrado (especialidad, maestría, doctorado)"
¿Te interesaría recibir orientación o apoyo sobre los siguientes temas?,,,,,,
ORI_AUE,CARÁCTER,1,,Autoestima,1,Sí
,,,,,2,No
ORI_CME,CARÁCTER,1,,Control de miedos,1,Sí
,,,,,2,No
ORI_ESX,CARÁCTER,1,,Educación sexual,1,Sí
,,,,,2,No
ORI_HSO,CARÁCTER,1,,Habilidades sociales,1,Sí
,,,,,2,No
ORI_DEC,CARÁCTER,1,,Toma de decisiones,1,Sí
,,,,,2,No
ORI_MDP,CARÁCTER,1,,Manejo de depresión,1,Sí
,,,,,2,No
ORI_MES,CARÁCTER,1,,Manejo de ansiedad/estrés,1,Sí
,,,,,2,No
ORI_MAG,CARÁCTER,1,,Manejo de la agresividad,1,Sí
,,,,,2,No
ORI_NUT,CARÁCTER,1,,Alimentación saludable (nutrición),1,Sí
,,,,,2,No
"¿Con qué frecuencia utilizas el teléfono celular, la tableta electrónica (tablet) o la computadora para realizar las siguientes actividades? ",,,,,,
UTI_LPLR,CARÁCTER,1,,"Leer periódicos, libros o revistas",1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
UTI_BITE,CARÁCTER,1,,Buscar información para tareas escolares,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
UTI_CCE,CARÁCTER,1,,Comunicarte con tus compañeros de la escuela para hacer tareas,1,Nunca o casi nunca
,,,,,2,Algunas veces
,,,,,3,Frecuentemente
,,,,,4,Siempre o casi siempre
¿Qué tanto daño te causó que tus compañeros en la secundaria te…,,,,,,
DAN_MALF,CARÁCTER,1,,"golpearan, patearan, cachetearan o maltrataran físicamente?",1,No me sucedió
,,,,,2,Nada de daño
,,,,,3,Poco daño
,,,,,4,Algo de daño
,,,,,5,Mucho daño
DAN_OFI,CARÁCTER,1,,"ofendieran con insultos, groserías o apodos hirientes?",1,No me sucedió
,,,,,2,Nada de daño
,,,,,3,Poco daño
,,,,,4,Algo de daño
,,,,,5,Mucho daño
DAN_EIR,CARÁCTER,1,,"excluyeran, ignoraran o rechazaran?",1,No me sucedió
,,,,,2,Nada de daño
,,,,,3,Poco daño
,,,,,4,Algo de daño
,,,,,5,Mucho daño
DAN_REQC,CARÁCTER,1,,"robaran, escondieran o quitaran tus cosas?",1,No me sucedió
,,,,,2,Nada de daño
,,,,,3,Poco daño
,,,,,4,Algo de daño
,,,,,5,Mucho daño
DAN_MFT,CARÁCTER,1,,"molestaran por medio de Facebook, Twitter, correo electrónico o mensajes de texto por el celular?",1,No me sucedió
,,,,,2,Nada de daño
,,,,,3,Poco daño
,,,,,4,Algo de daño
,,,,,5,Mucho daño
DAN_FHC,CARÁCTER,1,,forzaran a hacer cosas que tú no querías?,1,No me sucedió
,,,,,2,Nada de daño
,,,,,3,Poco daño
,,,,,4,Algo de daño
,,,,,5,Mucho daño
CPVHTUM,CARÁCTER,1,,¿Cuántas personas de 14 años o más que viven en tu hogar trabajaron en el último mes?,1,Ninguna
,,,,,2,Una
,,,,,3,Dos
,,,,,4,Tres
,,,,,5,Cuatro o más
